Method,Avg Points,Max Points,Min Points,Avg Efficiency (%)
Dynamic ROI,7019.8,9170,4506,12.19%
Fixed ROI,11580.3,12199,10268,20.10%
Waypoint ROI,7599.0,8325,6568,13.19%
